,Sales
115563,0
832654,0
769112,2933
350588,8602
141556,6975
84435,9239
53018,0
262419,0
702267,5885
981431,0
498087,0
106826,9992
540078,4123
699991,13543
626012,5484
690856,5187
19419,0
240278,7502
396937,4500
452378,6188
258763,0
257537,3741
271459,5361
290558,11442
373123,3525
233735,6237
643971,8109
441809,7551
742964,4561
352696,6338
1013206,4394
837603,0
170660,7925
201163,7392
592635,7259
508453,2903
112789,3098
830028,7561
440599,0
61035,7858
227813,0
690194,3693
1015341,25750
143349,12411
187857,3487
308292,3597
110732,7096
592838,7786
845681,5887
409768,8954
705443,0
113538,15112
655824,4819
540749,0
305526,12527
766282,4214
576645,10099
727207,7709
846777,9788
939077,0
889198,9476
794586,9028
925756,0
20430,5252
126791,0
778912,4536
224106,5854
263654,12553
385458,9097
358018,6535
161041,6753
583792,5683
807359,0
963006,4508
858197,0
931636,5993
224446,6344
511001,9748
1016662,8071
726115,3426
985918,4646
912195,8806
98057,19001
1005972,8655
961244,6835
171066,7138
639879,1953
891748,0
220700,8004
827137,4793
286034,3470
373387,5096
485660,9749
83438,0
970213,11788
44885,5032
505530,6202
626623,1651
819829,0
411806,1961
541524,1995
819324,0
602029,5155
810676,1993
240480,2490
896041,9893
245505,7337
796841,4413
96363,0
921363,10028
890594,0
314033,4517
221359,0
177984,0
355594,8399
795501,3875
750644,4996
675415,4710
46435,5377
598193,7509
866945,6858
832530,12779
24014,13874
359210,9720
322713,0
28823,0
333618,5732
869484,9760
156011,11559
568257,7752
769041,3323
610489,2804
469961,0
125622,7532
871913,4915
342496,10490
927539,7262
605154,3445
250170,0
482958,4790
460622,5634
241731,4798
380867,5080
997800,0
1015441,0
866645,9299
361921,7489
716678,9300
766477,3850
468051,15072
358000,4471
1006829,5507
786681,0
537390,7433
516324,0
630435,6460
415872,4649
833626,7999
368583,4103
630027,4200
207362,9784
108450,4588
1015454,17102
385958,8270
775520,4108
897387,6384
411055,5072
835262,9325
232692,10820
255167,0
48111,3669
718186,3811
615621,6470
179427,0
965327,6903
285152,5165
237836,21386
970063,13940
362206,0
296039,5143
947208,5696
776581,4506
696896,8695
346486,11378
641408,0
720940,8395
629737,9777
826074,8929
312210,10740
875499,6536
626887,5158
620915,12155
533060,8523
165051,0
125394,8031
1003370,5472
895532,4934
247850,6332
957134,0
762002,3976
770407,9979
492990,0
464823,10967
112128,10279
473772,3941
673418,4383
638949,4332
91927,6579
633202,4714
340071,3715
154077,4367
757368,4564
965766,8418
951214,0
102596,0
812188,8009
98775,5848
176027,8858
505537,3888
58003,11659
81621,9456
534995,7346
752494,8827
399741,8191
463522,4116
532026,5261
400576,3443
300344,2699
894601,6268
396774,5957
139805,0
27698,7957
315198,6197
51676,9224
399043,5282
811484,5047
445360,5681
623363,3073
467723,14713
659475,5713
183115,6151
688829,0
38137,11040
35377,8114
576705,5404
441480,8819
366976,4903
864754,4111
538982,4740
301287,0
494160,5813
650277,10704
496579,8058
645010,1975
817138,4179
819024,3814
489790,4867
458210,7668
226884,15907
369155,6628
