,Sales
157696,6567
517215,6673
799211,8258
592833,9891
768559,4982
280837,10813
419067,5806
700539,10237
309470,9398
230039,9173
530801,9952
363338,4877
870393,2912
536255,5266
286894,10614
689126,6532
267637,4164
730366,6880
404911,22382
906819,0
742958,4331
1005560,6075
792907,0
694751,6124
598825,0
639734,3694
115663,4198
686379,15370
524533,12344
276425,6313
37771,8613
181489,6599
457652,0
325911,9207
879342,8259
910334,4203
789096,9000
845487,6593
14415,0
265071,4649
898332,9607
324090,4469
462007,8908
144017,7252
431635,3054
847754,6167
172751,0
78566,2905
984753,10033
666844,17112
630098,6065
37760,16433
836476,5020
968926,0
94555,11953
401020,8611
391894,9238
409687,14289
693680,3757
903827,4247
818215,5156
120039,5706
218008,4962
568983,7655
44843,0
870376,2817
290578,15134
106480,4761
338010,4964
331777,1823
25479,5916
917659,11107
516121,0
338770,7987
883931,4112
125094,0
735801,8433
558507,4882
593682,4075
268932,5621
856211,4910
645650,11063
841039,5845
432648,0
619128,5632
377367,5637
801123,5694
483314,3114
533299,0
372962,4305
423711,7301
680900,6005
554514,11898
973206,4257
565048,5831
415167,0
271057,6675
448770,0
444029,0
147832,5619
228086,0
931747,5655
862811,10079
85156,5871
66309,0
809882,4198
377170,5361
501223,4698
322240,0
943460,4546
364254,4503
270220,8483
44968,3174
241439,4259
614167,2552
1014024,0
905688,6971
184867,0
433316,8945
386368,8548
725047,6111
41551,5726
870120,4954
899364,12743
281813,5417
48150,6915
212797,4915
658460,8040
580390,8777
745505,4822
45887,0
267275,6404
274565,0
786398,6748
167714,0
351836,7909
724958,4560
236518,8399
1016222,17040
734286,13392
116776,7362
805863,6139
757434,0
340323,4828
886313,4401
638447,4055
754952,5309
619115,7794
431087,3619
326618,7072
644038,9295
437387,12556
677919,0
702898,3202
293863,6565
574384,11130
496760,12360
203178,0
758297,4174
321937,9427
286654,17385
596433,9745
903697,6361
283259,4760
576578,7328
391644,14390
874034,0
783227,6702
187221,7857
996983,6333
523685,0
232808,13401
685935,7355
959067,0
702578,4296
650066,4058
772599,6891
106473,3751
735293,12039
376818,9674
420375,7029
846598,9512
184426,6222
15407,4486
171398,6629
977554,5271
362173,4103
685116,10742
43274,2990
871211,5954
402570,7729
632512,7100
458665,4225
704536,4642
802527,5430
242747,10566
821985,4540
897415,3377
213029,5599
255364,6576
234981,11529
223661,6763
166574,6860
543844,3268
639219,6759
825972,8203
1002139,3815
928776,8556
792617,6772
779189,5719
56114,4963
239383,0
138973,0
951603,0
66852,0
436876,9104
70770,3030
690470,4434
556772,6686
296643,6419
155419,7760
274442,0
337142,0
481682,7709
682664,5989
454899,5857
470672,4607
529996,6270
80017,8683
386698,5535
841350,0
236530,19629
56026,0
532727,2936
217341,0
860474,3864
289230,6849
770026,3640
411462,0
689196,5436
767722,9396
509730,0
651100,6646
85690,8097
321216,5587
64983,9022
382856,4212
472761,5338
879421,6934
377304,4876
487592,5051
571960,0
961359,6231
584502,3571
484233,6620
407247,4887
636087,14076
384098,11360
264558,4696
200604,0
144765,3961
982175,4354
739555,8560
631917,10496
61579,6661
160927,11170
219838,2886
88703,5835
183366,5351
325604,8270
252949,0
151626,11231
316601,2305
857158,3646
979784,0
28777,2507
428885,3028
875754,4500
439168,4549
872631,3007
474410,0
25182,3522
307427,6023
263885,6683
2819,12247
719858,0
365579,6229
951678,8387
230,7263
96074,10841
52939,4722
149599,0
712763,8070
662667,0
978126,7786
876236,11114
346524,18589
804129,4453
477592,6033
976745,5865
778681,5007
326903,5603
1002251,3854
548340,4964
94377,9671
96969,0
553922,4316
939578,0
609465,4242
835771,8312
517280,0
305419,11605
529583,4361
226400,11851
521461,4621
930957,10618
750267,8671
92916,12019
358734,5382
138870,0
748416,7773
755182,0
286174,5264
636209,5835
881802,7267
1009536,0
947677,9049
621419,17147
676399,5260
610697,9003
155924,7971
403457,0
319340,4070
81332,8516
966537,11613
482439,8169
765385,6753
704466,8868
238327,23011
443119,3860
724981,7360
564003,4200
1001561,0
94634,10779
746211,8088
764215,7156
670526,7164
789374,8657
169363,7631
458853,0
736324,5056
641844,5258
662569,0
965144,0
663277,10323
788203,5423
937427,3432
130319,0
529221,4076
304495,7090
718906,2827
896059,12985
605054,3285
442918,8621
663962,10317
129704,7008
601355,0
790257,3674
605285,6581
9807,7600
973411,3555
1014373,14366
553821,0
883428,3078
658473,10537
847692,0
747844,0
21903,0
690241,3346
958006,0
489262,5720
987082,4908
257961,5459
108670,0
582427,7918
832770,6093
259333,4227
418894,10134
341901,0
74773,9265
998040,4691
867865,3055
126049,4642
95357,5496
808151,4820
135429,13206
515668,7180
622486,9878
771238,6102
103414,5544
887070,6936
57223,6013
825304,15369
767222,20196
798590,7840
695650,0
393184,13935
767669,8876
