,Sales
370473,6033
792487,0
335336,7449
617365,0
126323,4783
3548,7481
364954,8424
40121,0
98342,11546
302423,9283
512955,5739
398845,0
219016,3818
839516,7836
583347,7056
339610,5958
601574,8354
185934,8856
296301,4295
840230,6896
58697,7247
880714,4998
691157,6681
112560,3545
510141,13453
655271,0
940609,11392
939159,7352
14546,0
204099,0
578829,5978
680931,3933
1008216,6552
992569,5852
519067,2940
244889,9451
455318,3308
1016582,6900
749094,6610
672219,10053
166210,7003
703365,0
770296,8993
577276,5651
767607,8638
412556,8282
760286,4426
1006051,3399
613202,10197
674325,7420
462681,8360
998441,0
770739,0
942606,12232
196648,4484
333145,6043
973622,0
382569,5060
579476,3730
168082,5242
280974,12762
713562,0
509904,13322
511447,4815
875509,6800
87245,6468
120558,7465
950371,2432
918753,0
117187,8017
913902,5649
636832,9059
244130,7502
588201,5551
584230,0
633548,5772
1002923,4132
794517,13700
428273,11200
961654,0
648739,12052
403041,3734
298036,3828
578685,8425
584219,6815
124447,6849
713930,8878
1006321,4490
42457,5626
146607,6573
592047,7164
812941,9764
638213,4104
518940,0
240349,3801
28507,4523
505888,4832
1009885,6351
312475,7343
99102,5807
331242,5355
167626,0
118747,7040
708874,2640
422122,4336
655791,6996
23756,7617
203528,0
26805,3010
569133,0
69506,12940
922117,7440
758257,0
599443,10266
298275,5546
198484,4024
364381,9758
839649,11578
795245,4242
241372,0
69809,0
767457,8161
980151,10260
849945,0
88269,6901
740453,4314
184307,4909
562700,6641
558679,6378
378168,5388
410202,5932
766376,3699
697021,7369
446107,9449
285859,4654
14247,0
922529,6093
267499,7009
63522,7122
505498,3324
931174,11179
768795,4546
657338,9025
521160,7825
1006661,6167
565796,4906
852440,6294
255578,2947
452962,0
988194,5959
604554,6384
505833,4101
234949,9875
679759,9557
907323,0
128225,4682
895455,8163
722968,0
843668,0
712039,4071
370556,5822
155399,8211
267188,4740
674479,0
696700,7703
766047,3608
383701,8298
597107,3208
408332,7459
264800,0
687462,14600
350527,5902
296438,5120
146381,10597
953939,8702
885173,5421
2324,3485
